,ID,Date_Time,Year,Month,Mdate,Day,Time,Sensor_ID,Sensor_Name,Hourly_Counts
0,2273140,2018-06-24T03:00:00,2018,June,24,Sunday,3,12,New Quay,22
41,2250484,2018-06-04T11:00:00,2018,June,4,Monday,11,12,New Quay,158
53,2264980,2018-06-17T01:00:00,2018,June,17,Sunday,1,12,New Quay,10
80,2265604,2018-06-17T14:00:00,2018,June,17,Sunday,14,12,New Quay,71
98,2247028,2018-06-01T11:00:00,2018,June,1,Friday,11,12,New Quay,174
139,2259124,2018-06-11T23:00:00,2018,June,11,Monday,23,12,New Quay,30
1385084,2246490,2018-06-01T00:00:00,2018,June,1,Friday,0,4,Town Hall (West),222
1385085,2246491,2018-06-01T00:00:00,2018,June,1,Friday,0,17,Collins Place (South),28
1385086,2246492,2018-06-01T00:00:00,2018,June,1,Friday,0,18,Collins Place (North),24
1385087,2246493,2018-06-01T00:00:00,2018,June,1,Friday,0,53,Collins St (North),50
1385088,2246494,2018-06-01T00:00:00,2018,June,1,Friday,0,2,Bourke Street Mall (South),64
1385089,2246495,2018-06-01T00:00:00,2018,June,1,Friday,0,1,Bourke Street Mall (North),88
1385090,2246496,2018-06-01T00:00:00,2018,June,1,Friday,0,3,Melbourne Central,278
1385091,2246497,2018-06-01T00:00:00,2018,June,1,Friday,0,15,State Library,117
1385092,2246498,2018-06-01T00:00:00,2018,June,1,Friday,0,9,Southern Cross Station,17
1385093,2246499,2018-06-01T00:00:00,2018,June,1,Friday,0,10,Victoria Point,7
1385096,2246500,2018-06-01T00:00:00,2018,June,1,Friday,0,12,New Quay,29
1385097,2246501,2018-06-01T00:00:00,2018,June,1,Friday,0,11,Waterfront City,9
1385098,2246502,2018-06-01T00:00:00,2018,June,1,Friday,0,8,Webb Bridge,18
1385099,2246503,2018-06-01T00:00:00,2018,June,1,Friday,0,7,Birrarung Marr,12
1385100,2246504,2018-06-01T00:00:00,2018,June,1,Friday,0,5,Princes Bridge,147
1385101,2246505,2018-06-01T00:00:00,2018,June,1,Friday,0,6,Flinders Street Station Underpass,237
1385102,2246506,2018-06-01T00:00:00,2018,June,1,Friday,0,26,QV Market-Elizabeth St (West),142
1385103,2246507,2018-06-01T00:00:00,2018,June,1,Friday,0,24,Spencer St-Collins St (North),168
1385104,2246508,2018-06-01T00:00:00,2018,June,1,Friday,0,23,Spencer St-Collins St (South),27
1385105,2246509,2018-06-01T00:00:00,2018,June,1,Friday,0,25,Melbourne Convention Exhibition Centre,30
1385107,2246510,2018-06-01T00:00:00,2018,June,1,Friday,0,21,Bourke St-Russell St (West),288
1385108,2246511,2018-06-01T00:00:00,2018,June,1,Friday,0,20,Chinatown-Lt Bourke St (South),91
1385109,2246512,2018-06-01T00:00:00,2018,June,1,Friday,0,19,Chinatown-Swanston St (North),128
1385110,2246513,2018-06-01T00:00:00,2018,June,1,Friday,0,22,Flinders St-Elizabeth St (East),313
1385111,2246514,2018-06-01T00:00:00,2018,June,1,Friday,0,27,QV Market-Peel St,26
1385112,2246515,2018-06-01T00:00:00,2018,June,1,Friday,0,28,The Arts Centre,58
1385113,2246516,2018-06-01T00:00:00,2018,June,1,Friday,0,31,Lygon St (West),49
1385114,2246517,2018-06-01T00:00:00,2018,June,1,Friday,0,30,Lonsdale St (South),183
1385115,2246518,2018-06-01T00:00:00,2018,June,1,Friday,0,33,Flinders St-Spring St (West),14
1385116,2246519,2018-06-01T00:00:00,2018,June,1,Friday,0,34,Flinders St-Spark La,14
1385118,2246520,2018-06-01T00:00:00,2018,June,1,Friday,0,39,Alfred Place,9
1385119,2246521,2018-06-01T00:00:00,2018,June,1,Friday,0,37,Lygon St (East),4
1385120,2246522,2018-06-01T00:00:00,2018,June,1,Friday,0,40,Lonsdale St-Spring St (West),33
1385121,2246523,2018-06-01T00:00:00,2018,June,1,Friday,0,36,Queen St (West),68
1385122,2246524,2018-06-01T00:00:00,2018,June,1,Friday,0,29,St Kilda Rd-Alexandra Gardens,17
1385123,2246525,2018-06-01T00:00:00,2018,June,1,Friday,0,42,Grattan St-Swanston St (West),49
1385124,2246526,2018-06-01T00:00:00,2018,June,1,Friday,0,43,Monash Rd-Swanston St (West),27
1385125,2246527,2018-06-01T00:00:00,2018,June,1,Friday,0,44,Tin Alley-Swanston St (West),9
1385126,2246528,2018-06-01T00:00:00,2018,June,1,Friday,0,35,Southbank,238
1385127,2246529,2018-06-01T00:00:00,2018,June,1,Friday,0,45,Little Collins St-Swanston St (East),110
1385129,2246600,2018-06-01T02:00:00,2018,June,1,Friday,2,5,Princes Bridge,40
1385130,2246530,2018-06-01T00:00:00,2018,June,1,Friday,0,41,Flinders La-Swanston St (West),294
1385131,2246531,2018-06-01T00:00:00,2018,June,1,Friday,0,46,Pelham St (S),25
1385132,2246532,2018-06-01T00:00:00,2018,June,1,Friday,0,47,Melbourne Central-Elizabeth St (East),161
1385133,2246533,2018-06-01T00:00:00,2018,June,1,Friday,0,48,QVM-Queen St (East),40
1385134,2246534,2018-06-01T00:00:00,2018,June,1,Friday,0,49,QVM-Therry St (South),54
1385135,2246535,2018-06-01T00:00:00,2018,June,1,Friday,0,50,Faraday St-Lygon St (West),49
1385136,2246536,2018-06-01T00:00:00,2018,June,1,Friday,0,51,QVM-Franklin St (North),12
1385137,2246537,2018-06-01T00:00:00,2018,June,1,Friday,0,52,Elizabeth St-Lonsdale St (South),73
1385138,2246538,2018-06-01T01:00:00,2018,June,1,Friday,1,4,Town Hall (West),99
1385139,2246539,2018-06-01T01:00:00,2018,June,1,Friday,1,17,Collins Place (South),19
1385141,2246540,2018-06-01T01:00:00,2018,June,1,Friday,1,18,Collins Place (North),9
1385142,2246541,2018-06-01T01:00:00,2018,June,1,Friday,1,53,Collins St (North),27
1385143,2246542,2018-06-01T01:00:00,2018,June,1,Friday,1,2,Bourke Street Mall (South),40
1385144,2246543,2018-06-01T01:00:00,2018,June,1,Friday,1,1,Bourke Street Mall (North),41
1385145,2246544,2018-06-01T01:00:00,2018,June,1,Friday,1,3,Melbourne Central,180
1385146,2246545,2018-06-01T01:00:00,2018,June,1,Friday,1,15,State Library,57
1385147,2246546,2018-06-01T01:00:00,2018,June,1,Friday,1,9,Southern Cross Station,12
1385148,2246547,2018-06-01T01:00:00,2018,June,1,Friday,1,10,Victoria Point,3
1385149,2246548,2018-06-01T01:00:00,2018,June,1,Friday,1,12,New Quay,17
1385150,2246549,2018-06-01T01:00:00,2018,June,1,Friday,1,11,Waterfront City,2
1385152,2246550,2018-06-01T01:00:00,2018,June,1,Friday,1,8,Webb Bridge,7
1385153,2246551,2018-06-01T01:00:00,2018,June,1,Friday,1,7,Birrarung Marr,9
1385154,2246552,2018-06-01T01:00:00,2018,June,1,Friday,1,5,Princes Bridge,89
1385155,2246553,2018-06-01T01:00:00,2018,June,1,Friday,1,6,Flinders Street Station Underpass,70
1385156,2246554,2018-06-01T01:00:00,2018,June,1,Friday,1,26,QV Market-Elizabeth St (West),116
1385157,2246555,2018-06-01T01:00:00,2018,June,1,Friday,1,24,Spencer St-Collins St (North),54
1385158,2246556,2018-06-01T01:00:00,2018,June,1,Friday,1,23,Spencer St-Collins St (South),24
1385159,2246557,2018-06-01T01:00:00,2018,June,1,Friday,1,25,Melbourne Convention Exhibition Centre,26
1385160,2246558,2018-06-01T01:00:00,2018,June,1,Friday,1,21,Bourke St-Russell St (West),178
1385161,2246559,2018-06-01T01:00:00,2018,June,1,Friday,1,20,Chinatown-Lt Bourke St (South),45
1385163,2246560,2018-06-01T01:00:00,2018,June,1,Friday,1,19,Chinatown-Swanston St (North),96
1385164,2246561,2018-06-01T01:00:00,2018,June,1,Friday,1,22,Flinders St-Elizabeth St (East),130
1385165,2246562,2018-06-01T01:00:00,2018,June,1,Friday,1,27,QV Market-Peel St,21
1385166,2246563,2018-06-01T01:00:00,2018,June,1,Friday,1,28,The Arts Centre,34
1385167,2246564,2018-06-01T01:00:00,2018,June,1,Friday,1,31,Lygon St (West),18
1385168,2246565,2018-06-01T01:00:00,2018,June,1,Friday,1,30,Lonsdale St (South),142
1385169,2246566,2018-06-01T01:00:00,2018,June,1,Friday,1,33,Flinders St-Spring St (West),3
1385170,2246567,2018-06-01T01:00:00,2018,June,1,Friday,1,34,Flinders St-Spark La,5
1385171,2246568,2018-06-01T01:00:00,2018,June,1,Friday,1,39,Alfred Place,12
1385172,2246569,2018-06-01T01:00:00,2018,June,1,Friday,1,37,Lygon St (East),8
1385174,2246570,2018-06-01T01:00:00,2018,June,1,Friday,1,40,Lonsdale St-Spring St (West),8
1385175,2246571,2018-06-01T01:00:00,2018,June,1,Friday,1,36,Queen St (West),24
1385176,2246572,2018-06-01T01:00:00,2018,June,1,Friday,1,29,St Kilda Rd-Alexandra Gardens,15
1385177,2246573,2018-06-01T01:00:00,2018,June,1,Friday,1,42,Grattan St-Swanston St (West),28
1385178,2246574,2018-06-01T01:00:00,2018,June,1,Friday,1,43,Monash Rd-Swanston St (West),15
1385179,2246575,2018-06-01T01:00:00,2018,June,1,Friday,1,44,Tin Alley-Swanston St (West),6
1385180,2246576,2018-06-01T01:00:00,2018,June,1,Friday,1,35,Southbank,75
1385181,2246577,2018-06-01T01:00:00,2018,June,1,Friday,1,45,Little Collins St-Swanston St (East),47
1385182,2246578,2018-06-01T01:00:00,2018,June,1,Friday,1,41,Flinders La-Swanston St (West),150
1385183,2246579,2018-06-01T01:00:00,2018,June,1,Friday,1,46,Pelham St (S),9
1385185,2246580,2018-06-01T01:00:00,2018,June,1,Friday,1,47,Melbourne Central-Elizabeth St (East),144
1385186,2246581,2018-06-01T01:00:00,2018,June,1,Friday,1,48,QVM-Queen St (East),22
1385187,2246582,2018-06-01T01:00:00,2018,June,1,Friday,1,49,QVM-Therry St (South),46
1385188,2246583,2018-06-01T01:00:00,2018,June,1,Friday,1,50,Faraday St-Lygon St (West),18
1385189,2246584,2018-06-01T01:00:00,2018,June,1,Friday,1,51,QVM-Franklin St (North),10
1385190,2246585,2018-06-01T01:00:00,2018,June,1,Friday,1,52,Elizabeth St-Lonsdale St (South),61
1385191,2246586,2018-06-01T02:00:00,2018,June,1,Friday,2,4,Town Hall (West),73
1385192,2246587,2018-06-01T02:00:00,2018,June,1,Friday,2,17,Collins Place (South),9
1385193,2246588,2018-06-01T02:00:00,2018,June,1,Friday,2,18,Collins Place (North),7
1385194,2246589,2018-06-01T02:00:00,2018,June,1,Friday,2,53,Collins St (North),31
1385196,2246590,2018-06-01T02:00:00,2018,June,1,Friday,2,2,Bourke Street Mall (South),17
1385197,2246591,2018-06-01T02:00:00,2018,June,1,Friday,2,1,Bourke Street Mall (North),41
1385198,2246592,2018-06-01T02:00:00,2018,June,1,Friday,2,3,Melbourne Central,141
1385199,2246593,2018-06-01T02:00:00,2018,June,1,Friday,2,15,State Library,27
1385200,2246594,2018-06-01T02:00:00,2018,June,1,Friday,2,9,Southern Cross Station,3
1385201,2246595,2018-06-01T02:00:00,2018,June,1,Friday,2,10,Victoria Point,7
1385202,2246596,2018-06-01T02:00:00,2018,June,1,Friday,2,12,New Quay,3
1385203,2246597,2018-06-01T02:00:00,2018,June,1,Friday,2,11,Waterfront City,3
1385204,2246598,2018-06-01T02:00:00,2018,June,1,Friday,2,8,Webb Bridge,6
1385205,2246599,2018-06-01T02:00:00,2018,June,1,Friday,2,7,Birrarung Marr,23
1385208,2246601,2018-06-01T02:00:00,2018,June,1,Friday,2,6,Flinders Street Station Underpass,49
1385209,2246602,2018-06-01T02:00:00,2018,June,1,Friday,2,26,QV Market-Elizabeth St (West),90
1385210,2246603,2018-06-01T02:00:00,2018,June,1,Friday,2,24,Spencer St-Collins St (North),19
1385211,2246604,2018-06-01T02:00:00,2018,June,1,Friday,2,23,Spencer St-Collins St (South),22
1385212,2246605,2018-06-01T02:00:00,2018,June,1,Friday,2,25,Melbourne Convention Exhibition Centre,15
1385213,2246606,2018-06-01T02:00:00,2018,June,1,Friday,2,21,Bourke St-Russell St (West),132
1385214,2246607,2018-06-01T02:00:00,2018,June,1,Friday,2,20,Chinatown-Lt Bourke St (South),66
1385215,2246608,2018-06-01T02:00:00,2018,June,1,Friday,2,19,Chinatown-Swanston St (North),41
1385216,2246609,2018-06-01T02:00:00,2018,June,1,Friday,2,22,Flinders St-Elizabeth St (East),102
1385218,2246610,2018-06-01T02:00:00,2018,June,1,Friday,2,27,QV Market-Peel St,7
1385219,2246611,2018-06-01T02:00:00,2018,June,1,Friday,2,28,The Arts Centre,41
1385220,2246612,2018-06-01T02:00:00,2018,June,1,Friday,2,31,Lygon St (West),5
1385221,2246613,2018-06-01T02:00:00,2018,June,1,Friday,2,30,Lonsdale St (South),99
1385222,2246614,2018-06-01T02:00:00,2018,June,1,Friday,2,33,Flinders St-Spring St (West),7
1385223,2246615,2018-06-01T02:00:00,2018,June,1,Friday,2,34,Flinders St-Spark La,10
1385224,2246616,2018-06-01T02:00:00,2018,June,1,Friday,2,39,Alfred Place,14
1385225,2246617,2018-06-01T02:00:00,2018,June,1,Friday,2,37,Lygon St (East),3
1385226,2246618,2018-06-01T02:00:00,2018,June,1,Friday,2,40,Lonsdale St-Spring St (West),6
1385227,2246619,2018-06-01T02:00:00,2018,June,1,Friday,2,36,Queen St (West),24
1385229,2246620,2018-06-01T02:00:00,2018,June,1,Friday,2,29,St Kilda Rd-Alexandra Gardens,20
1385230,2246621,2018-06-01T02:00:00,2018,June,1,Friday,2,42,Grattan St-Swanston St (West),10
1385231,2246622,2018-06-01T02:00:00,2018,June,1,Friday,2,43,Monash Rd-Swanston St (West),2
1385232,2246623,2018-06-01T02:00:00,2018,June,1,Friday,2,44,Tin Alley-Swanston St (West),1
1385233,2246624,2018-06-01T02:00:00,2018,June,1,Friday,2,35,Southbank,63
1385234,2246625,2018-06-01T02:00:00,2018,June,1,Friday,2,45,Little Collins St-Swanston St (East),17
1385235,2246626,2018-06-01T02:00:00,2018,June,1,Friday,2,41,Flinders La-Swanston St (West),123
1385236,2246627,2018-06-01T02:00:00,2018,June,1,Friday,2,46,Pelham St (S),2
1385237,2246628,2018-06-01T02:00:00,2018,June,1,Friday,2,47,Melbourne Central-Elizabeth St (East),65
1385238,2246629,2018-06-01T02:00:00,2018,June,1,Friday,2,48,QVM-Queen St (East),18
1385240,2246630,2018-06-01T02:00:00,2018,June,1,Friday,2,49,QVM-Therry St (South),28
1385241,2246631,2018-06-01T02:00:00,2018,June,1,Friday,2,50,Faraday St-Lygon St (West),5
1385242,2246632,2018-06-01T02:00:00,2018,June,1,Friday,2,51,QVM-Franklin St (North),3
1385243,2246633,2018-06-01T02:00:00,2018,June,1,Friday,2,52,Elizabeth St-Lonsdale St (South),27
1385244,2246634,2018-06-01T03:00:00,2018,June,1,Friday,3,4,Town Hall (West),46
1385245,2246635,2018-06-01T03:00:00,2018,June,1,Friday,3,17,Collins Place (South),10
1385246,2246636,2018-06-01T03:00:00,2018,June,1,Friday,3,18,Collins Place (North),3
1385247,2246637,2018-06-01T03:00:00,2018,June,1,Friday,3,53,Collins St (North),24
1385248,2246638,2018-06-01T03:00:00,2018,June,1,Friday,3,2,Bourke Street Mall (South),23
1385249,2246639,2018-06-01T03:00:00,2018,June,1,Friday,3,1,Bourke Street Mall (North),56
1385251,2246640,2018-06-01T03:00:00,2018,June,1,Friday,3,3,Melbourne Central,84
1385252,2246641,2018-06-01T03:00:00,2018,June,1,Friday,3,15,State Library,41
1385253,2246642,2018-06-01T03:00:00,2018,June,1,Friday,3,9,Southern Cross Station,5
1385254,2246643,2018-06-01T03:00:00,2018,June,1,Friday,3,10,Victoria Point,1
1385255,2246644,2018-06-01T03:00:00,2018,June,1,Friday,3,12,New Quay,5
1385256,2246645,2018-06-01T03:00:00,2018,June,1,Friday,3,11,Waterfront City,4
1385257,2246646,2018-06-01T03:00:00,2018,June,1,Friday,3,8,Webb Bridge,1
1385258,2246647,2018-06-01T03:00:00,2018,June,1,Friday,3,7,Birrarung Marr,8
1385259,2246648,2018-06-01T03:00:00,2018,June,1,Friday,3,5,Princes Bridge,54
1385260,2246649,2018-06-01T03:00:00,2018,June,1,Friday,3,6,Flinders Street Station Underpass,56
1385262,2246650,2018-06-01T03:00:00,2018,June,1,Friday,3,26,QV Market-Elizabeth St (West),44
1385263,2246651,2018-06-01T03:00:00,2018,June,1,Friday,3,24,Spencer St-Collins St (North),23
1385264,2246652,2018-06-01T03:00:00,2018,June,1,Friday,3,23,Spencer St-Collins St (South),35
1385265,2246653,2018-06-01T03:00:00,2018,June,1,Friday,3,25,Melbourne Convention Exhibition Centre,11
1385266,2246654,2018-06-01T03:00:00,2018,June,1,Friday,3,21,Bourke St-Russell St (West),109
1385267,2246655,2018-06-01T03:00:00,2018,June,1,Friday,3,20,Chinatown-Lt Bourke St (South),36
1385268,2246656,2018-06-01T03:00:00,2018,June,1,Friday,3,19,Chinatown-Swanston St (North),29
1385269,2246657,2018-06-01T03:00:00,2018,June,1,Friday,3,22,Flinders St-Elizabeth St (East),122
1385270,2246658,2018-06-01T03:00:00,2018,June,1,Friday,3,27,QV Market-Peel St,9
1385271,2246659,2018-06-01T03:00:00,2018,June,1,Friday,3,28,The Arts Centre,44
1385273,2246660,2018-06-01T03:00:00,2018,June,1,Friday,3,31,Lygon St (West),1
1385274,2246661,2018-06-01T03:00:00,2018,June,1,Friday,3,30,Lonsdale St (South),66
1385275,2246662,2018-06-01T03:00:00,2018,June,1,Friday,3,33,Flinders St-Spring St (West),4
1385276,2246663,2018-06-01T03:00:00,2018,June,1,Friday,3,34,Flinders St-Spark La,3
1385277,2246664,2018-06-01T03:00:00,2018,June,1,Friday,3,39,Alfred Place,6
1385278,2246665,2018-06-01T03:00:00,2018,June,1,Friday,3,37,Lygon St (East),0
1385279,2246666,2018-06-01T03:00:00,2018,June,1,Friday,3,40,Lonsdale St-Spring St (West),2
1385280,2246667,2018-06-01T03:00:00,2018,June,1,Friday,3,36,Queen St (West),19
1385281,2246668,2018-06-01T03:00:00,2018,June,1,Friday,3,29,St Kilda Rd-Alexandra Gardens,6
1385282,2246669,2018-06-01T03:00:00,2018,June,1,Friday,3,42,Grattan St-Swanston St (West),7
1385284,2246670,2018-06-01T03:00:00,2018,June,1,Friday,3,43,Monash Rd-Swanston St (West),3
1385285,2246671,2018-06-01T03:00:00,2018,June,1,Friday,3,44,Tin Alley-Swanston St (West),3
1385286,2246672,2018-06-01T03:00:00,2018,June,1,Friday,3,35,Southbank,25
1385287,2246673,2018-06-01T03:00:00,2018,June,1,Friday,3,45,Little Collins St-Swanston St (East),24
1385288,2246674,2018-06-01T03:00:00,2018,June,1,Friday,3,41,Flinders La-Swanston St (West),88
1385289,2246675,2018-06-01T03:00:00,2018,June,1,Friday,3,46,Pelham St (S),3
1385290,2246676,2018-06-01T03:00:00,2018,June,1,Friday,3,47,Melbourne Central-Elizabeth St (East),45
1385291,2246677,2018-06-01T03:00:00,2018,June,1,Friday,3,48,QVM-Queen St (East),7
1385292,2246678,2018-06-01T03:00:00,2018,June,1,Friday,3,49,QVM-Therry St (South),25
1385293,2246679,2018-06-01T03:00:00,2018,June,1,Friday,3,50,Faraday St-Lygon St (West),1
1385295,2246680,2018-06-01T03:00:00,2018,June,1,Friday,3,51,QVM-Franklin St (North),3
1385296,2246681,2018-06-01T03:00:00,2018,June,1,Friday,3,52,Elizabeth St-Lonsdale St (South),13
1385297,2246682,2018-06-01T04:00:00,2018,June,1,Friday,4,4,Town Hall (West),51
1385298,2246683,2018-06-01T04:00:00,2018,June,1,Friday,4,17,Collins Place (South),11
1385299,2246684,2018-06-01T04:00:00,2018,June,1,Friday,4,18,Collins Place (North),6
1385300,2246685,2018-06-01T04:00:00,2018,June,1,Friday,4,53,Collins St (North),7
1385301,2246686,2018-06-01T04:00:00,2018,June,1,Friday,4,2,Bourke Street Mall (South),22
1385302,2246687,2018-06-01T04:00:00,2018,June,1,Friday,4,1,Bourke Street Mall (North),17
1385303,2246688,2018-06-01T04:00:00,2018,June,1,Friday,4,3,Melbourne Central,50
1385304,2246689,2018-06-01T04:00:00,2018,June,1,Friday,4,15,State Library,18
1385306,2246690,2018-06-01T04:00:00,2018,June,1,Friday,4,9,Southern Cross Station,6
1385307,2246691,2018-06-01T04:00:00,2018,June,1,Friday,4,10,Victoria Point,2
1385308,2246692,2018-06-01T04:00:00,2018,June,1,Friday,4,12,New Quay,4
1385309,2246693,2018-06-01T04:00:00,2018,June,1,Friday,4,11,Waterfront City,5
1385310,2246694,2018-06-01T04:00:00,2018,June,1,Friday,4,8,Webb Bridge,2
1385311,2246695,2018-06-01T04:00:00,2018,June,1,Friday,4,7,Birrarung Marr,23
1385312,2246696,2018-06-01T04:00:00,2018,June,1,Friday,4,5,Princes Bridge,54
1385313,2246697,2018-06-01T04:00:00,2018,June,1,Friday,4,6,Flinders Street Station Underpass,47
1385314,2246698,2018-06-01T04:00:00,2018,June,1,Friday,4,26,QV Market-Elizabeth St (West),44
1385315,2246699,2018-06-01T04:00:00,2018,June,1,Friday,4,24,Spencer St-Collins St (North),51
1385318,2246700,2018-06-01T04:00:00,2018,June,1,Friday,4,23,Spencer St-Collins St (South),11
1385319,2246701,2018-06-01T04:00:00,2018,June,1,Friday,4,25,Melbourne Convention Exhibition Centre,20
1385320,2246702,2018-06-01T04:00:00,2018,June,1,Friday,4,21,Bourke St-Russell St (West),45
1385321,2246703,2018-06-01T04:00:00,2018,June,1,Friday,4,20,Chinatown-Lt Bourke St (South),23
1385322,2246704,2018-06-01T04:00:00,2018,June,1,Friday,4,19,Chinatown-Swanston St (North),18
1385323,2246705,2018-06-01T04:00:00,2018,June,1,Friday,4,22,Flinders St-Elizabeth St (East),96
1385324,2246706,2018-06-01T04:00:00,2018,June,1,Friday,4,27,QV Market-Peel St,5
1385325,2246707,2018-06-01T04:00:00,2018,June,1,Friday,4,28,The Arts Centre,69
1385326,2246708,2018-06-01T04:00:00,2018,June,1,Friday,4,31,Lygon St (West),7
1385327,2246709,2018-06-01T04:00:00,2018,June,1,Friday,4,30,Lonsdale St (South),40
1385329,2246710,2018-06-01T04:00:00,2018,June,1,Friday,4,33,Flinders St-Spring St (West),10
1385330,2246711,2018-06-01T04:00:00,2018,June,1,Friday,4,34,Flinders St-Spark La,3
1385331,2246712,2018-06-01T04:00:00,2018,June,1,Friday,4,39,Alfred Place,6
1385332,2246713,2018-06-01T04:00:00,2018,June,1,Friday,4,37,Lygon St (East),11
1385333,2246714,2018-06-01T04:00:00,2018,June,1,Friday,4,40,Lonsdale St-Spring St (West),16
1385334,2246715,2018-06-01T04:00:00,2018,June,1,Friday,4,36,Queen St (West),8
1385335,2246716,2018-06-01T04:00:00,2018,June,1,Friday,4,29,St Kilda Rd-Alexandra Gardens,9
1385336,2246717,2018-06-01T04:00:00,2018,June,1,Friday,4,42,Grattan St-Swanston St (West),14
1385337,2246718,2018-06-01T04:00:00,2018,June,1,Friday,4,43,Monash Rd-Swanston St (West),3
1385338,2246719,2018-06-01T04:00:00,2018,June,1,Friday,4,44,Tin Alley-Swanston St (West),3
1385340,2246720,2018-06-01T04:00:00,2018,June,1,Friday,4,35,Southbank,44
1385341,2246721,2018-06-01T04:00:00,2018,June,1,Friday,4,45,Little Collins St-Swanston St (East),31
1385342,2246722,2018-06-01T04:00:00,2018,June,1,Friday,4,41,Flinders La-Swanston St (West),81
1385343,2246723,2018-06-01T04:00:00,2018,June,1,Friday,4,46,Pelham St (S),4
1385344,2246724,2018-06-01T04:00:00,2018,June,1,Friday,4,47,Melbourne Central-Elizabeth St (East),34
1385345,2246725,2018-06-01T04:00:00,2018,June,1,Friday,4,48,QVM-Queen St (East),5
1385346,2246726,2018-06-01T04:00:00,2018,June,1,Friday,4,49,QVM-Therry St (South),21
1385347,2246727,2018-06-01T04:00:00,2018,June,1,Friday,4,50,Faraday St-Lygon St (West),7
1385348,2246728,2018-06-01T04:00:00,2018,June,1,Friday,4,51,QVM-Franklin St (North),2
1385349,2246729,2018-06-01T04:00:00,2018,June,1,Friday,4,52,Elizabeth St-Lonsdale St (South),8
1385351,2246730,2018-06-01T05:00:00,2018,June,1,Friday,5,4,Town Hall (West),71
1385352,2246731,2018-06-01T05:00:00,2018,June,1,Friday,5,17,Collins Place (South),54
1385353,2246732,2018-06-01T05:00:00,2018,June,1,Friday,5,18,Collins Place (North),29
1385354,2246733,2018-06-01T05:00:00,2018,June,1,Friday,5,53,Collins St (North),25
1385355,2246734,2018-06-01T05:00:00,2018,June,1,Friday,5,2,Bourke Street Mall (South),31
1385356,2246735,2018-06-01T05:00:00,2018,June,1,Friday,5,1,Bourke Street Mall (North),21
1385357,2246736,2018-06-01T05:00:00,2018,June,1,Friday,5,3,Melbourne Central,72
1385358,2246737,2018-06-01T05:00:00,2018,June,1,Friday,5,15,State Library,27
1385359,2246738,2018-06-01T05:00:00,2018,June,1,Friday,5,9,Southern Cross Station,110
1385360,2246739,2018-06-01T05:00:00,2018,June,1,Friday,5,10,Victoria Point,20
1385362,2246740,2018-06-01T05:00:00,2018,June,1,Friday,5,12,New Quay,9
1385363,2246741,2018-06-01T05:00:00,2018,June,1,Friday,5,11,Waterfront City,7
1385364,2246742,2018-06-01T05:00:00,2018,June,1,Friday,5,8,Webb Bridge,46
1385365,2246743,2018-06-01T05:00:00,2018,June,1,Friday,5,7,Birrarung Marr,52
1385366,2246744,2018-06-01T05:00:00,2018,June,1,Friday,5,5,Princes Bridge,146
1385367,2246745,2018-06-01T05:00:00,2018,June,1,Friday,5,6,Flinders Street Station Underpass,222
1385368,2246746,2018-06-01T05:00:00,2018,June,1,Friday,5,26,QV Market-Elizabeth St (West),94
1385369,2246747,2018-06-01T05:00:00,2018,June,1,Friday,5,24,Spencer St-Collins St (North),322
1385370,2246748,2018-06-01T05:00:00,2018,June,1,Friday,5,23,Spencer St-Collins St (South),52
1385371,2246749,2018-06-01T05:00:00,2018,June,1,Friday,5,25,Melbourne Convention Exhibition Centre,73
1385373,2246750,2018-06-01T05:00:00,2018,June,1,Friday,5,21,Bourke St-Russell St (West),64
1385374,2246751,2018-06-01T05:00:00,2018,June,1,Friday,5,20,Chinatown-Lt Bourke St (South),15
1385375,2246752,2018-06-01T05:00:00,2018,June,1,Friday,5,19,Chinatown-Swanston St (North),16
1385376,2246753,2018-06-01T05:00:00,2018,June,1,Friday,5,22,Flinders St-Elizabeth St (East),165
1385377,2246754,2018-06-01T05:00:00,2018,June,1,Friday,5,27,QV Market-Peel St,15
1385378,2246755,2018-06-01T05:00:00,2018,June,1,Friday,5,28,The Arts Centre,123
1385379,2246756,2018-06-01T05:00:00,2018,June,1,Friday,5,31,Lygon St (West),19
1385380,2246757,2018-06-01T05:00:00,2018,June,1,Friday,5,30,Lonsdale St (South),35
1385381,2246758,2018-06-01T05:00:00,2018,June,1,Friday,5,33,Flinders St-Spring St (West),14
1385382,2246759,2018-06-01T05:00:00,2018,June,1,Friday,5,34,Flinders St-Spark La,28
1385384,2246760,2018-06-01T05:00:00,2018,June,1,Friday,5,39,Alfred Place,37
1385385,2246761,2018-06-01T05:00:00,2018,June,1,Friday,5,37,Lygon St (East),7
1385386,2246762,2018-06-01T05:00:00,2018,June,1,Friday,5,40,Lonsdale St-Spring St (West),20
1385387,2246763,2018-06-01T05:00:00,2018,June,1,Friday,5,36,Queen St (West),18
1385388,2246764,2018-06-01T05:00:00,2018,June,1,Friday,5,29,St Kilda Rd-Alexandra Gardens,24
1385389,2246765,2018-06-01T05:00:00,2018,June,1,Friday,5,42,Grattan St-Swanston St (West),13
1385390,2246766,2018-06-01T05:00:00,2018,June,1,Friday,5,43,Monash Rd-Swanston St (West),7
1385391,2246767,2018-06-01T05:00:00,2018,June,1,Friday,5,44,Tin Alley-Swanston St (West),5
